Name,Pass,Objective,BestBound,Time,Nodes,IntSols,Status
test1 - JG,true,0,0,0.001372176,1,1,Optimal
test2 - GB,true,7,8,0.015290129,9,3,Optimal
test_P1_Guilherme - GB,true,539.4139,537.0498142857143,0.317746347,21,4,Optimal
test_PL_Infeasible_Guilherme - GB,true,0,0,0.001684823,1,0,Infeasible
test_MIP_medio_Guilherme - GB,true,2007.288458313053,2006.7230820130385,0.700719603,61,4,Optimal
test_MIP_Grande_Guilherme - GB,true,1727.9651280248818,1701.8114311137558,106.13806434,121,3,UserLimit
test_P1_Brito - EB,true,1.69179355,0,0.045364702,1,1,Optimal
test_PL_Simples_Brito - EB,true,9.333333333333334,0,0.002091028,1,1,Optimal
test_PL_Infeasible_Brito - EB,true,0,0,0.002067343,1,0,Infeasible
test_PL_Unbounded_Brito - EB,true,0,0,0.005217506,1,0,Unbounded
test_MIP_Minimal_Brito - EB,true,140,140,0.01962022,9,3,Optimal
test_MIP_Pequeno_Brito - EB,true,1.26400081,0,0.00487604,1,1,Optimal
testSudoku - RS,true,0,0,0.0806027,1,1,Optimal
testInfeasibleKnapsack - RS,true,0,0,0.001758248,1,0,Infeasible
testRobustCCUC - RS,true,293557.6959999999,280393.9643516482,24.066205117,121,1,UserLimit
testUnboundedKnapsack - RS,true,0,0,0.001654032,1,0,Unbounded
testInfeasibleUC - RS,true,0,0,0.011595596,1,0,Infeasible
test_PL_Simples_Raphael - RS,true,2,0,0.001572713,1,1,Optimal
test_PL_Infeasible_Raphael - RS,true,0,0,0.00156916,1,0,Infeasible
test_Minimal_UC - RS,true,17700,16726.159169550177,0.086579718,19,1,Optimal
testSudoku4x4 - RS,true,0,0,0.008007649,1,1,Optimal
testCaminho - CG,true,4,0,0.0018447,1,1,Optimal
test_optimal_dispatch - CG,true,5150,6616.443452380951,1.007537099,69,15,Optimal
test3 - AR,true,9.34,324.7729142857143,0.004847618,3,2,Optimal
test3_2 - AR,true,0,0,0.001919704,1,0,Unbounded
test3_3 - AR,true,0,0,0.001677718,1,0,Infeasible
test_feature_selection_pequeno_viavel - AR,true,0,0,1.226394806,40,1,Optimal
test_feature_selection_medio - AR,true,0,0,7.685337495,15,1,Optimal
test_feature_selection_grande - AR,true,0,0,105.255668022,16,1,Optimal
test_feature_selection_pequeno_inviavel - AR,true,0,0,0.014904845,1,0,Infeasible
teste_PL_andrew_unbounded - AR,true,0,0,0.001803251,1,0,Unbounded
teste_PL_andrew_viavel - AR,true,27,0,0.001985233,1,1,Optimal
teste_PL_andrew_inviavel - AR,true,0,0,0.0015435,1,0,Infeasible
test_P1_Andrew_Bianca_viavel - AR,true,0,29.567727805473847,0.601018947,121,0,Infeasible
test_rv_1 - RV,true,27,25.5,0.005474493,3,2,Optimal
test_rv_3 - RV,true,6,0,0.073234162,1,1,Optimal
test_rv_5 - RV,true,36025,0,0.024212035,1,1,Optimal
test_rv_2 - RV,true,0,0,0.001753117,1,0,Infeasible
test_rv_4 - RV,true,0,0,0.004265746,1,0,Infeasible
test_rv_7 - RV,true,13,0,0.001525736,1,1,Optimal
test_rv_8 - RV,true,0,0,0.001952468,1,0,Infeasible
test_rv_p1 - RV,true,90,108,0.074089207,21,7,Optimal
